Title;Link;Location;Company
Human Resources Business Partner ;"=HYPERLINK(""https://bertrandtgroup.onlyfy.jobs/job/k473r9jlzk0x9cyitnvw2cqe942exa4"")";Oxnard;Bertrandt
Project Controller, Bilingual German;"=HYPERLINK(""https://bertrandtgroup.onlyfy.jobs/job/6hx5tpawkcvz9se7xhogfr122kdz6wl"")";Greenville;Bertrandt
Konstrukteur Catia V5 (m/w/d);"=HYPERLINK(""https://bertrandtgroup.onlyfy.jobs/job/vem0ndpps6pkzb2qezs1nm7o10r5ajb"")";Wuppertal;Bertrandt
Operator (m/w/d) ;"=HYPERLINK(""https://bertrandtgroup.onlyfy.jobs/job/ei93pd4554in7jpgich6re562n6fpo9"")";Frankfurt;Bertrandt
Fertigungssteuerer (m/w/d);"=HYPERLINK(""https://bertrandtgroup.onlyfy.jobs/job/4tcaeb971qz1wyh002thzv01rhzuz5t"")";Rheda-Wiedenbrück;Bertrandt
Operator Pharma / NAPA (m/w/d);"=HYPERLINK(""https://bertrandtgroup.onlyfy.jobs/job/nzkmo7vffs0vhdyfl2n82pdypsl4mtu"")";Frankfurt;Bertrandt
Praktikum / Werkstudententätigkeit Research and Technology (m/w/d);"=HYPERLINK(""https://www.atlascopco.jobs/de-de/jobs/job-overview/job-detail/praktikum-werkstudentent-tigkeit-research-and-technology-m-w-d/146068-atlascopco"")";Research and Development  | Atlas Copco IAS GmbH | Germany | Bretten | On-Site;AtlasCopco
Development Engineer Screw Compressor Thermo- and Fluid dynamics (m/f/d);"=HYPERLINK(""https://www.atlascopco.jobs/de-de/jobs/job-overview/job-detail/development-engineer-screw-compressor-thermo-and-fluid-dynamics-m-f-d/150502-atlascopco"")";Research and Development  | Atlas Copco Energas GmbH | Germany | Köln | On-Site;AtlasCopco
Software Engineer (m/w/d);"=HYPERLINK(""https://www.atlascopco.jobs/de-de/jobs/job-overview/job-detail/software-engineer-m-w-d/146534-atlascopco"")";Research and Development  | Atlas Copco IAS GmbH | Germany | Bretten | Hybrid;AtlasCopco
Duales Studium Mechatronik (m/w/d) - Start 2025;"=HYPERLINK(""https://www.atlascopco.jobs/de-de/jobs/job-overview/job-detail/duales-studium-mechatronik-m-w-d-start-2025/144179-atlascopco"")";Research and Development  | Atlas Copco IAS GmbH | Germany | Bretten | On-Site;AtlasCopco
Eigenschaftsentwickler - Batterie Systemingenieur E&E (w/m/d);"=HYPERLINK(""https://career.deutz.jobs/job/K%C3%B6ln-Eigenschaftsentwickler-Batterie-Systemingenieur-E&E-%28wmd%29-NW-51149/1139908701/"")";Köln, NW, DE, 51149;Deutz
Ausbildung Werkstoffprüfer (m/w/d);"=HYPERLINK(""https://career.deutz.jobs/job/K%C3%B6ln-Ausbildung-Werkstoffpr%C3%BCfer-%28mwd%29-NW-51149/697611501/"")";Köln, NW, DE, 51149;Deutz
Praktikant (w/m/d) im Bereich Forschung und Entwicklung;"=HYPERLINK(""https://career.deutz.jobs/job/K%C3%B6ln-Praktikant-%28wmd%29-im-Bereich-Forschung-und-Entwicklung-NW-51149/1139797701/"")";Köln, NW, DE, 51149;Deutz
